accent,source,n_utterances,wer,mean_wer,wer_ci_lo,wer_ci_hi,fairness_delta
Vietnamese,L2-Arctic,150,0.2101,0.2166,0.1868,0.2463,0.2008
Spanish,L2-Arctic,150,0.1015,0.1025,0.0804,0.1223,0.2008
Chinese,L2-Arctic,150,0.0778,0.0793,0.0627,0.097,0.2008
Arabic,L2-Arctic,150,0.0494,0.0552,0.0369,0.0753,0.2008
Hindi,L2-Arctic,150,0.0282,0.0288,0.0179,0.0429,0.2008
Korean,L2-Arctic,150,0.0271,0.0273,0.0146,0.0407,0.2008
English,VCTK,150,0.023,0.0209,0.0135,0.0286,0.2008
Irish,VCTK,150,0.0203,0.0184,0.0105,0.0272,0.2008
Indian,VCTK,150,0.0201,0.0148,0.0082,0.0222,0.2008
NorthernIrish,VCTK,150,0.0152,0.0142,0.0066,0.0231,0.2008
Welsh,VCTK,150,0.0123,0.0198,0.0104,0.0304,0.2008
Scottish,VCTK,150,0.0093,0.0073,0.0034,0.012,0.2008
