noise_type,snr_db,wer,delta_rel,n_utterances
clean,inf,0.0372,0.0,
gaussian,-5,0.3128,741.9,100.0
gaussian,0,0.0663,78.5,100.0
gaussian,5,0.0385,3.6,100.0
gaussian,10,0.031,-16.5,100.0
gaussian,15,0.0278,-25.2,100.0
gaussian,20,0.0278,-25.2,100.0
babble,0,0.0626,68.4,100.0
babble,5,0.0374,0.7,100.0
babble,10,0.031,-16.5,100.0
babble,15,0.0283,-23.7,100.0
babble,20,0.0283,-23.7,100.0
traffic,0,0.0636,71.3,100.0
traffic,5,0.0374,0.7,100.0
traffic,10,0.0326,-12.2,100.0
traffic,15,0.0294,-20.8,100.0
traffic,20,0.0289,-22.3,100.0
office,0,0.0727,95.7,100.0
office,5,0.0358,-3.6,100.0
office,10,0.0299,-19.4,100.0
office,15,0.0283,-23.7,100.0
office,20,0.0283,-23.7,100.0
