accent,source,n_utterances,wer,mean_wer,wer_ci_lo,wer_ci_hi,fairness_delta
Vietnamese,L2-Arctic,150,0.2368,0.2426,0.2076,0.2796,0.2276
Spanish,L2-Arctic,150,0.1896,0.1836,0.1486,0.2213,0.2276
Chinese,L2-Arctic,150,0.0955,0.0951,0.0736,0.1184,0.2276
Arabic,L2-Arctic,150,0.0889,0.085,0.0579,0.1147,0.2276
Irish,VCTK,150,0.0434,0.0311,0.0176,0.0476,0.2276
English,VCTK,150,0.0342,0.0322,0.0179,0.0475,0.2276
Korean,L2-Arctic,150,0.0306,0.0311,0.0162,0.0499,0.2276
Hindi,L2-Arctic,150,0.0282,0.0288,0.0179,0.0429,0.2276
Indian,VCTK,150,0.0201,0.0148,0.0082,0.0222,0.2276
NorthernIrish,VCTK,150,0.0152,0.0138,0.0068,0.0216,0.2276
Welsh,VCTK,150,0.013,0.0211,0.0114,0.0321,0.2276
Scottish,VCTK,150,0.0093,0.0073,0.0034,0.012,0.2276
