noise_type,snr_db,wer,delta_rel,n_utterances
clean,inf,0.0995,0.0,
gaussian,-5,0.4016,303.8,100.0
gaussian,0,0.108,8.6,100.0
gaussian,5,0.0599,-39.8,100.0
gaussian,10,0.0519,-47.8,100.0
gaussian,15,0.0513,-48.4,100.0
gaussian,20,0.0513,-48.4,100.0
babble,0,0.0936,-5.9,100.0
babble,5,0.0711,-28.5,100.0
babble,10,0.062,-37.6,100.0
babble,15,0.0513,-48.4,100.0
babble,20,0.0503,-49.5,100.0
traffic,0,0.085,-14.5,100.0
traffic,5,0.069,-30.6,100.0
traffic,10,0.054,-45.7,100.0
traffic,15,0.0529,-46.8,100.0
traffic,20,0.0513,-48.4,100.0
office,0,0.0963,-3.2,100.0
office,5,0.0599,-39.8,100.0
office,10,0.0551,-44.6,100.0
office,15,0.0508,-48.9,100.0
office,20,0.0513,-48.4,100.0
